//Timecyc from 1090374517a(AkinaCS)
//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
8 8 6	128 90 50	255 255 255	0 7 23	0 4 8	255 135 6	5 0 0	1.00 0.40 0.40 200 100 0	600.00 100.00 1.00 5 5 5	10 10 10	32 32 48 154	127 70 70 70	127 0 0 0	255 0 0
//5AM
9 9 7	128 90 50	255 255 255	0 7 23	0 4 8	255 135 6	5 0 0	1.00 0.40 0.40 200 100 0	700.00 100.00 1.00 5 5 5	10 10 10	32 32 48 154	127 70 70 70	127 0 0 0	255 0 0
//6AM
13 13 13	128 128 128	255 255 255	39 46 64	99 83 86	255 128 0	0 0 0	0 0.70 0.50 200 100 0	800.00 100.00 1.40 17 13 9	26 56 104	89 73 76 128	50 128 128 128	40 64 64 64	255 80 0
//7AM
20 19 0	192 192 192	255 255 255	81 110 149 200 144 85	255 150 13	255 128 64	8.40 1.00 0.50 140 50 75	1000.00 100.00 0.30 120 40 40	183 102 69	180 144 85 128	40 173 106 60	40 78 92 99	255 80 0
//Midday
46 45 46	153 153 153	255 255 255	64 116 127	163 165 157	255 208 147	255 128 64	1.70 1.00 0.00 225 25 190	1200.00 100.00 0.00 81 127 255	255 255 255	145 153 198 192	127 128 128 128	127 64 64 64	255 255 0
//7PM
46 45 46	153 153 153	255 255 255	44 96 107	123 125 117	255 208 147	255 128 64	3.10 1.00 0.50 200 40 30	1000.00 100.00 0.30 49 37 25	192 212 219	145 153 198 192	127 128 128 128	127 64 64 64	255 255 0
//8PM
24 12 3	192 192 192	255 255 255	32 53 82	216 123 39	255 208 147	255 128 64	3.10 1.00 0.50 200 40 30	800.00 100.00 0.30 49 37 25	153 63 41	204 113 68 198	75 153 63 25	72 64 64 64	255 80 0
//10PM
21 20 20	210 194 182	255 255 255	137 100 84	60 50 52	255 128 0	5 8 0	1.00 1.00 0.30 160 100 0	600.00 10.00 1.00 70 27 10	15 11 34	32 32 48 64	255 209 143 84	255 76 51 0	255 90 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
